ngram,logP(Spam),logP(Non-Spam),logOdds(Spam-Ham)
 08,-7.3519119379808275,-11.555097828995445,4.203185891014617
all 0,-7.355080004649881,-11.555097828995445,4.200017824345563
ll 0,-7.355080004649881,-11.555097828995445,4.200017824345563
l 0,-7.355080004649881,-11.555097828995445,4.200017824345563
087,-7.504805885382515,-11.555097828995445,4.05029194361293
 087,-7.5853460670928055,-11.555097828995445,3.9697517619026392
000,-7.6651782287665045,-11.555097828995445,3.8899196002289402
871,-7.692357832346072,-11.555097828995445,3.8627399966493723
0871,-7.718922763975345,-11.555097828995445,3.8361750650200994
 0871,-7.751936762584584,-11.555097828995445,3.803161066410861
090,-7.751991596907807,-11.555097828995445,3.8031062320876377
 09,-7.820610753027368,-11.555097828995445,3.734487075968077
 090,-7.820610753027368,-11.555097828995445,3.734487075968077
claim,-7.84254085596589,-11.555097828995445,3.712556973029555
laim,-7.84254085596589,-11.555097828995445,3.712556973029555
aim,-7.84254085596589,-11.555097828995445,3.712556973029555
clai,-7.84254085596589,-11.555097828995445,3.712556973029555
000 ,-7.862916778617681,-11.555097828995445,3.692181050377764
800,-7.872770929669429,-11.555097828995445,3.682326899326016
50p,-7.883955033881043,-11.555097828995445,3.6711427951144016
00 ,-7.257315832860222,-10.91160417208987,3.654288339229648
 clai,-7.902369329089737,-11.555097828995445,3.6527284999057077
50 ,-7.9098403721014625,-11.555097828995445,3.645257456893982
ll 08,-7.919517836141143,-11.555097828995445,3.635579992854302
l 08,-7.919517836141143,-11.555097828995445,3.635579992854302
